---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE05

Time Stamp (Second(s)), Brake Temp FL (C)
12.7994,410.559
12.8095,397.705
12.8195,410.51
12.8295,420.044
12.8404,409.302
12.8495,400.854
12.8594,409.839
12.8695,411.133
12.8796,402.82
12.8906,416.223
12.8996,398.572
12.9096,412.695
12.9196,403.406
12.9296,407.349
12.9404,417.639
12.9496,396.301
12.9595,413.489
12.9695,402.686
12.9795,404.517
12.9904,416.199
12.9995,397.058
13.0095,412.659
13.0195,402.808
13.0295,403.845
13.0404,416.443
13.0495,395.508
13.0673,400.623
13.0695,405.566
13.0796,403.65
13.0894,415.222
13.0996,396.045
13.1096,413.037
13.1273,408.618
13.1294,405.432
13.1395,413.269
13.1495,395.85
13.1594,409.241
13.1703,414.368
13.1795,396.997
13.1895,414.026
13.1995,400.537
13.2094,406.592
13.2202,413.501
13.2295,395.483
13.2474,400.293
13.2495,410.217
13.2595,396.191
13.2703,405.041
13.2795,410.547
13.2895,397.571
13.2994,404.687
13.3095,413.623
13.3203,399.451
13.3295,401.66
13.3395,415.234
13.3495,401.904
13.3673,411.157
13.3705,411.194
13.3795,399.719
13.3895,404.956
13.3995,409.119
13.4095,398.779
13.4203,415.222
13.4295,395.251
13.4474,394.287
13.4495,396.191
13.4595,406.665
13.4702,398.401
13.4795,406.897
13.4895,402.698
13.4995,400.94
13.5094,409.753
13.5203,393.652
13.5295,404.138
13.5395,401.794
13.5495,396.875
13.5595,410.486
13.5703,397.082
13.5873,397.998
13.5895,405.322
13.5995,396.045
13.6095,408.252
13.6202,405.53
13.6295,397.62
13.6395,408.081
13.6495,398.95
13.6595,399.658
13.6705,408.899
13.6796,394.849
13.6896,402.429
13.6996,408.289
13.7096,394.275
13.7205,405.225
13.7296,407.458
13.7396,397.852
13.7495,407.434
13.7595,400.842
13.7704,400.317
13.7795,410.034
13.7895,393.506
13.7995,409.802
13.8095,398.328
13.8205,399.048
13.8295,413.55
13.8473,406.287
13.8495,404.077
13.8595,409.839
13.8704,400.293
13.8873,410.925
13.8896,410.156
13.8994,406.677
13.9096,394.568
13.9205,398.23
13.9296,411.768
13.9396,403.369
13.9495,396.277
13.9595,406.421
13.9704,407.227
13.9795,395.544
13.9895,411.707
13.9994,393.896
14.0095,398.975
14.0285,401.001
14.0295,407.556
14.0473,400.537
14.0495,396.667
14.0595,400.012
14.0705,402.673
14.0796,407.788
14.0896,408.972
14.0996,406.25
14.1095,404.016
14.1282,398.096
14.1295,404.614
14.1395,406.873
14.1495,406.311
14.1672,407.483
14.1694,406.909
14.1795,409.68
14.1895,409.46
14.1994,414.16
14.2095,412.805
14.2195,412.122
14.2294,401.233
14.2395,401.953
14.2504,410.12
14.2594,420.959
14.2695,402.527
14.2872,411.536
14.2894,422.62
14.3005,406.409
14.3095,428.723
14.3272,410.376
14.3295,417.444
