---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE01

Time Stamp (Second(s)), Engine Speed (RPM), Throttle (%), Intake Temp (C), Coolant Temp (C), Vehicle Speed (KPH), Lambda #2, Battery Voltage (V)
2.4495,4604.68,27.3434,7,27,0,0,13.7636
2.4604,4659.36,27.3434,6,26,0,0,13.5751
2.4695,4542.57,27.734,6,27,0,0,13.7636
2.4795,4619.13,26.9528,7,27,0,0,13.8265
2.4895,4567.18,26.9528,7,26,0,0,14.2036
2.5073,4679.68,27.734,7,27,0,0,13.5751
2.5105,4616.79,27.3434,6,27,0,0,13.5751
2.5194,4583.58,27.734,7,27,0,0,13.7008
2.5295,4655.46,28.5153,6,27,0,0,13.8893
2.5473,4748.43,31.6402,7,27,0,0,13.638
2.5495,4810.93,31.6402,6,27,0,0,13.7636
2.5604,4930.46,32.0308,7,27,0,0,13.7636
2.5695,4939.05,32.0308,6,27,0,0,14.0779
2.5795,5097.25,32.4215,6,27,0,0,13.8893
2.5895,4979.29,32.0308,6,28,0,0,13.8265
2.6072,5062.88,28.9059,7,28,0,0,13.8893
2.6105,5051.94,28.9059,7,27,0,0,13.8893
2.6196,4937.49,27.3434,7,28,0,0,13.5751
2.6296,4793.35,26.5622,7,28,0,0,13.8265
2.6396,4730.85,23.0466,6,27,0,0,13.5751
2.6496,4719.91,21.8747,7,27,0,0,13.638
2.6604,4622.65,21.8747,6,27,0,0,13.5751
2.6696,4565.22,21.8747,7,27,0,0,13.5751
2.6796,4399.6,21.8747,7,27,0,0,14.0779
2.6896,4367.18,21.4841,5,27,0,0,13.638
2.6995,4333.97,22.2653,7,27,0,0,13.7008
2.7102,4349.6,22.656,6,27,0,0,13.7008
2.7195,4361.32,23.4372,6,27,0,0,13.9522
2.7295,4196.47,23.4372,6,27,0,0,14.2664
2.7395,4115.62,23.8278,7,27,0,0,13.8893
2.7495,4275.38,23.8278,6,28,0,0,13.7636
2.7604,4188.66,23.4372,7,28,0,0,13.638
2.7695,4277.72,23.4372,7,28,0,0,13.7008
2.7795,4226.55,23.8278,7,28,0,0,14.0779
2.7895,4293.74,23.8278,6,28,0,0,13.7636
2.7995,4296.47,23.4372,7,27,0,0,13.8265
2.8196,4244.91,23.8278,6,28,0,0,13.638
2.8296,4303.12,23.8278,6,28,0,0,13.3237
2.8396,4241.4,24.2184,6,28,0,0,14.015
2.8496,4285.54,24.2184,7,28,0,0,13.7636
2.8594,4258.97,23.4372,7,27,0,0,13.7636
2.8696,4259.37,24.2184,7,28,0,0,14.3293
2.8796,4239.83,23.4372,7,28,0,0,13.7636
2.8895,4319.52,23.8278,7,28,0,0,13.638
2.9073,4298.82,24.2184,6,28,0,0,13.8893
2.9095,4328.12,24.2184,7,28,0,0,13.8893
2.9274,4290.62,24.9997,7,28,0,0,13.7636
2.9295,4296.08,24.6091,7,28,0,0,13.638
2.9403,4379.68,25.3903,7,28,0,0,13.8265
2.9495,4444.91,25.7809,6,28,0,0,13.9522
2.9595,4429.68,25.7809,6,28,0,0,13.8893
2.9695,4453.11,26.1715,6,27,0,0,13.9522
2.9795,4505.85,26.1715,6,28,0,0,13.8265
2.9903,4498.82,26.1715,7,28,0,0,13.5751
2.9996,4509.36,26.1715,6,28,0,0,13.638
3.0096,4537.1,25.7809,6,28,0,0,13.7636
3.0196,4526.55,26.1715,7,28,0,0,13.5123
3.0296,4569.91,25.7809,6,28,0,0,14.0779
3.0495,4587.49,26.1715,7,28,0,0,13.7636
3.0595,4566.4,25.7809,6,27,0,0,13.5123
3.0695,4557.02,25.7809,6,28,0,0,13.5751
3.0873,4605.85,26.1715,7,28,0,0,14.2664
3.0895,4597.65,26.5622,6,28,0,0,14.2664
3.0995,4572.65,26.1715,8,28,0,0,14.2036
3.1094,4580.07,25.7809,8,28,0,0,14.015
3.1204,4622.25,25.7809,7,28,0,0,13.5751
3.1295,4640.22,26.1715,7,28,0,0,13.8265
